titles,distros,department,time,location,professor,description,courseNum,meet
Modern Palestinian Literature,ART CMP LIT MDE ,Arabic ,7:30pm-10:25pm,"Axinn Center 219 (AXN 219)
		",Dima Ayoub ," (in English)
In this course we will explore how modern Palestinian literature grapples with questions of belonging, nationalism, memory, and colonialism. Questions about what it means to have a Palestinian literature or be Palestinian, and the challenges of even asking the question will also be explored. We will examine different notions of being Palestinian by focusing on the literature, film, art, and music produced by three main axes of Palestinian society: Palestinians in the West Bank and Gaza, Palestinians within Israel, and the Palestinian Diaspora. We will read novels from a range of time periods by writers such as Fadwa Tuqan, Mahmoud Darwish, Adania Shibli, Suheir Hammad, among others and analyze a number of other cultural and artistic expressions from the early 20th century to the present. Secondary readings and discussions will set these works in contemporary historical, cultural, and political perspectives. Students will emerge with a deep understanding of Palestinian cultural production and will be prepared to engage more widely with questions of narrative, representation, and identity. (This course will be taught in English.) ",ARBC0219A-F25,"Wednesday (Sep 8, 2025 to Dec 8, 2025)"
Advanced Arabic 1,LNG ,Arabic ,11:15am-12:30pm,"Library 230 (LIB 230)
		",Samuel Liebhaber ,"
A continuation of Arabic 0202. This course aims to help students reach an intermediate-high level of proficiency in reading, speaking, writing, listening, and culture. Readings include articles on cultural, social, historical, political and literary topics.  (ARBC 0202 or equivalent) 3 hrs. lect/disc. on T/R., plus a 50-minute lect time on Mondays TBD by enrolled students.) ",ARBC0301A-F25,"Tuesday, Thursday at LIB 230 (Sep 8, 2025 to Dec 8, 2025)
1:10pm-2:00pm on Friday at LIB 230 (Sep 8, 2025 to Dec 8, 2025)"
Advanced Readings: Arabic across History,LIT LNG MDE ,Arabic ,9:45am-10:35am,"Munroe Hall 401 (MNR 401)
		",Usama Soltan ,"
In this course we will read a variety of Arabic texts representing different eras in the history of Arabic, from pre-Islamic times in the Arabian Peninsula until the modern era in the Arab world. Readings will be mostly drawn from Arabic poetry across its different eras, as well as from religious and historical texts. Other types of texts will be chosen in consultation between students and instructor. In addition to discussion of the linguistic features of texts, we will address their literary, historical, and cultural aspects. 3 hrs. sem. (ARBC 0302 or equivalent) ",ARBC0413A-F25,"Friday at MNR 401 (Sep 8, 2025 to Dec 8, 2025)
9:45am-11:00am on Monday, Wednesday at MNR 401 (Sep 8, 2025 to Dec 8, 2025)"
The Creative Process,ART ,Arts Division ,11:15am-12:30pm,"Mahaney Center for the Arts 232 (MAC 232)
		",Michole Biancosino ,"
In this course, students will have the opportunity to dig deeply into their own creativity and explore the processes by which ideas emerge and are given shape in the arts. The experiential nature of this course integrates cognition and action, mind and body.  Students will engage in a range of modes of discovering, knowing, and communicating, which are designed to push them beyond their present state of awareness and level of confidence in their creative power.  Practical work will be closely accompanied by readings and journaling, culminating with the creation and performance of a short project. (First- and second-year students only; Not open to students who have taken FYSE 1364) 3 hrs. lect. ",ARDV0116A-F25,"Monday, Wednesday (Sep 8, 2025 to Dec 8, 2025)"
Drawing: Unlearning What You See,ART ,Program in Studio Art ,9:45am-12:30pm,"Johnson Memorial Building 103 (JHN 103)
		",Estefania Puerta ,"
Drawing is an intuitive act of expression. It serves many purposes: observation, emotional reflection, and creating altered realities beyond the written word. In this course we will learn foundational drawing techniques utilizing different approaches and materials including dry and wet media and basic sculptural principles to understand volume depicting space and figures. We address composition, scale, contour delineation, and tonal values. Developing a personal style will be paramount. Topics relating to drawing in the context of history and issues around who gets represented and how will be discussed. Readings and short lectures will inform these discussions.  No prior drawing experience is expected. (Not open to students who have taken ART 0157 or ART 0159) 6 hrs lct. ",ART0156A-F25,"Monday, Wednesday (Sep 8, 2025 to Dec 8, 2025)"
Visual Storytelling Through the Lens,ART ,Program in Studio Art ,1:30pm-4:15pm,"Johnson Memorial Building 307 (JHN 307)
		",Michelle Leftheris ,"
This photo-based studio course examines the ways images work together in succession to build narratives. Students will study contemporary and historical approaches to the photo essay in addition to authoring their own stories with images they have taken or sourced by other means. While we will discuss the basics of image making, the class is focused on the sequencing of images. Students may use any type of camera for this class including cell phone cameras and no prior photographic knowledge is required. The class will culminate in a web-based slideshow and printed book projects for each individual student. 6 hrs. lect/dsc. ",ART0163A-F25,"Tuesday, Thursday (Sep 8, 2025 to Dec 8, 2025)"
Touching the Surface: Drawing in Latin America,ART ,Program in Studio Art ,1:30pm-4:15pm,"Johnson Memorial Building 103 (JHN 103)
		",Estefania Puerta ,"
This course is designed to get students acquainted with foundational drawing techniques while also exploring different artists and artistic movements in Latin America who have redefined the medium through their own contexts and approaches to experimentation. We will study artists such as Lygia Clark, Belkis Ayón, Carmen Herrera, Beatriz González, Marisol, María Izquierdo, Felipe Baez, and Teresita Fernandez and unpack artistic movements that shape Latin American art as we know it today which span from around the 14th century to art being made today. Throughout the course, we will question what is considered Latin American and expand our geographical delineations that include Latinx American artists who bring their ancestral histories with them beyond borders and tongues. Dry and wet media will be used as well as some basic sculptural techniques to get a better understanding on the volumetric qualities of depicting space and figures. Students will learn foundational drawing skills such as composition, scale, negative/positive space, contour lines, tonal values, line quality, and personal style. There will be regular class critiques. (Not open to students who have already completed ART 1034.) ",ART0176A-F25,"Monday, Wednesday (Sep 8, 2025 to Dec 8, 2025)"
CMD+Z: Infinite Possibilities of The Digital Studio,ART CMP ,Program in Studio Art ,9:45am-12:30pm,"Johnson Memorial Building 307 (JHN 307)
		",Michelle Leftheris ,"
In this foundation design course we will explore various aspects of design including 2D composition, color theory, image editing, and typography while developing literacy in graphics software using the Adobe Creative Suite. Focusing on the comparison of visual communication across global cultures, lectures and assignments will be centered around the ways design intersects with art and socio-political issues.  Students will develop creative visual problem-solving and image-making skills that they can apply across many disciplines, learning to communicate and present their ideas effectively. Students will produce two substantial screen-based and print projects over the course of the semester. It is a 100 level beginning level class open to and designed for students with no visual artmaking experience. This course will count as a prerequisite towards 300-level courses in The Program In Studio Art. 6 hrs. lect./lab ",ART0195A-F25,"Tuesday, Thursday (Sep 8, 2025 to Dec 8, 2025)"
Figure Drawing I: The Human Body as Expression,ART CMP DED ,Program in Studio Art ,1:30pm-4:15pm,"Johnson Memorial Building 305 (JHN 305)
		",James Butler ,"
Depictions of the human are the longest historical record of our species. In this course we will learn to draw the human body as a key to unlocking that history and your imagination, to create new cultural stories. We will apply foundational knowledge obtained via deep analysis of skeletal/muscular anatomy to axioms of drawing including spatial reasoning using principles of geometry to depict the nude human form from life. You will learn to pictorialize figures meeting your creative intentions using inks, graphite, charcoal, and acrylics. Weekly lectures will survey figurative representation throughout the history of global art. Labs include application of linear perspective, movement, clothing, and implications of adornment. All levels; no pre-req; Content is connective to programs including Dance, Theater, History, and Philosophy. Lecture/Lab ",ART0201A-F25,"Monday, Wednesday (Sep 8, 2025 to Dec 8, 2025)"
Oil Painting Outdoors - Visually Interpreting The Landscape Around Us,ART CMP HIS ,Program in Studio Art ,9:45am-12:30pm,"Johnson Memorial Building 103 (JHN 103)
		",James Butler ,"
In this outdoor lab we will create paintings directly from the fall landscape of Middlebury. Using oil paint we will learn how to set up a palette, deploy color theory in picture-making, and apply spatial principles in composing our paintings. Oil on canvas will be our gateway to understanding the natural world, our built environment, and transitory phenomena of weather and light. A portion of the class will address how to incorporate humans and animals into our  images. Lecture and readings will address historical and philosophical ideas of landscape in culture. (one intro drawing course). 6 hrs. lect. ",ART0348A-F25,"Monday, Wednesday (Sep 8, 2025 to Dec 8, 2025)"
Ecology and Evolution,DED SCI ,Biology ,8:40am-9:30am,"McCardell Bicentennial Hall 317 (MBH 317)
		",David Allen ,"
In this introduction to ecology and evolutionary biology we will cover the topics of interspecific interactions (competition, predation, mutualism), demography and life-history patterns, succession and disturbance in natural communities, species diversity, stability and complexity, causes of evolutionary change, speciation, phylogenetic reconstruction, and population genetics.   The laboratory component will examine lecture topics in detail (such as measuring the evolutionary response of bacteria, adaptations of stream invertebrates to life in moving water, invasive species and their patterns of spread).  We will emphasize experimental design, data collection in the field and in the laboratory, data analysis, and writing skills. This course is not open to seniors and second semester juniors in the Fall. 3 hrs. lect./disc./3 hrs. lab ",BIOL0140A-F25,"Monday, Wednesday, Friday (Sep 8, 2025 to Dec 8, 2025)"
Ecology and Evolution,DED SCI ,Biology ,11:15am-12:05pm,"McCardell Bicentennial Hall 317 (MBH 317)
		",Sam Byrne ,"
In this introduction to ecology and evolutionary biology we will cover the topics of interspecific interactions (competition, predation, mutualism), demography and life-history patterns, succession and disturbance in natural communities, species diversity, stability and complexity, causes of evolutionary change, speciation, phylogenetic reconstruction, and population genetics.   The laboratory component will examine lecture topics in detail (such as measuring the evolutionary response of bacteria, adaptations of stream invertebrates to life in moving water, invasive species and their patterns of spread).  We will emphasize experimental design, data collection in the field and in the laboratory, data analysis, and writing skills. This course is not open to seniors and second semester juniors in the Fall. 3 hrs. lect./disc./3 hrs. lab ",BIOL0140B-F25,"Monday, Wednesday, Friday (Sep 8, 2025 to Dec 8, 2025)"
Ecology and Evolution,DED SCI ,Biology ,9:45am-10:35am,"McCardell Bicentennial Hall 317 (MBH 317)
		",Erin Eggleston ,"
In this introduction to ecology and evolutionary biology we will cover the topics of interspecific interactions (competition, predation, mutualism), demography and life-history patterns, succession and disturbance in natural communities, species diversity, stability and complexity, causes of evolutionary change, speciation, phylogenetic reconstruction, and population genetics.   The laboratory component will examine lecture topics in detail (such as measuring the evolutionary response of bacteria, adaptations of stream invertebrates to life in moving water, invasive species and their patterns of spread).  We will emphasize experimental design, data collection in the field and in the laboratory, data analysis, and writing skills. This course is not open to seniors and second semester juniors in the Fall. 3 hrs. lect./disc./3 hrs. lab ",BIOL0140C-F25,"Monday, Wednesday, Friday (Sep 8, 2025 to Dec 8, 2025)"
Cell Biology and Genetics,DED SCI ,Biology ,8:40am-9:30am,"McCardell Bicentennial Hall 219 (MBH 219)
		",Erik Solhaug ,"
In this introduction to modern cellular, genetic, and molecular biology we will explore life science concepts with an emphasis on their integral nature and evolutionary relationships.  Topics covered will include cell membrane structure and function, metabolism, cell motility and division, genome structure and replication, the regulation of gene expression and protein production, genotype to phenotype relationship, and basic principles of inheritance.  Major concepts will be illustrated using a broad range of examples from plants, animals, and microorganisms.  Current topics in biology will be integrated into the course as they arise.  3 hrs. lect./3 hrs. lab ",BIOL0145A-F25,"Monday, Wednesday, Friday (Sep 8, 2025 to Dec 8, 2025)"
Cell Biology and Genetics,DED SCI ,Biology ,11:15am-12:05pm,"McCardell Bicentennial Hall 219 (MBH 219)
		",Emily Putnam ,"
In this introduction to modern cellular, genetic, and molecular biology we will explore life science concepts with an emphasis on their integral nature and evolutionary relationships.  Topics covered will include cell membrane structure and function, metabolism, cell motility and division, genome structure and replication, the regulation of gene expression and protein production, genotype to phenotype relationship, and basic principles of inheritance.  Major concepts will be illustrated using a broad range of examples from plants, animals, and microorganisms.  Current topics in biology will be integrated into the course as they arise.  3 hrs. lect./3 hrs. lab ",BIOL0145B-F25,"Monday, Wednesday, Friday (Sep 8, 2025 to Dec 8, 2025)"
Biology of Plants,SCI ,Biology ,9:45am-11:00am,"McCardell Bicentennial Hall 403 (MBH 403)
		",Kirsten Coe ,"
An introduction to plants, their life cycles, and their relationships to each other, as well as to the animals that pollinate them, disperse their fruits, and eat them. We will discuss morphology, physiology, evolution, and natural history of plants (mosses, ferns, gymnosperms, angiosperms). The laboratory will emphasize plant identification, various aspects of plant ecology and physiology, plant morphology, and plant use by humans.  Students will complete a Community Service component, such as completing a forest inventory for a local forest, assisting with the campus tree map, or help with seed-saving measures at the College Organic Garden.  Field trips will be the norm early in the semester. (BIOL 0140 and BIOL 0145) 3 hrs. lect./3 hrs. lab ",BIOL0203A-F25,"Tuesday, Thursday (Sep 8, 2025 to Dec 8, 2025)"
Entomology,SCI ,Biology ,9:45am-11:00am,"McCardell Bicentennial Hall 411 (MBH 411)
		",Gregory Pask ,"
Insects are one of the most successful animal groups on Earth, accounting for roughly 75% of all animal species. In this course we will examine several aspects of organismal biology in insects and related arthropods, such as comparative anatomy, physiology, reproduction, development, sensory behavior, and evolution. Hands-on experiences with insects will occur in the field and the lab, culminating in an independent research project. Special topics will include medical and veterinary entomology, insect pest management, and the effects of climate change on insect populations. Oral and written reports are required. (BIOL 0140) 3 hrs. lect./3 hrs. lab (Not open to students who have already taken BIOL 0201.) ",BIOL0204A-F25,"Monday, Wednesday (Sep 8, 2025 to Dec 8, 2025)"
