titles,distros,department,time,location,professor,description,courseNum,meet
Theories of Popular Culture,SOC ,Program in American Studies ,9:45am-11:00am,"Axinn Center 104 (AXN 104)
		",Jason Mittell ,"
This writing-intensive course introduces a range of theoretical approaches to study American popular culture, exploring the intersection between everyday life, mass media, and identity and social power. We will consider key theoretical readings and approaches to studying culture, including ideology and hegemony theory, audience studies, subcultural analysis, the politics of taste, and cultural representations of identity. Using these theoretical tools, we will examine a range of popular media and sites of cultural expression, from television to toys, films to music, to understand popular culture as a site of ongoing political and social struggle. (FMMC 0102 or FMMC 0104 or AMST 0101 or instructor approval) 3 hrs. sem/3 hrs. screen. ",AMST0355A-F23,"Monday, Wednesday at AXN 104 (Sep 11, 2023 to Dec 11, 2023)
7:30pm-10:25pm on Tuesday at AXN 232 (Sep 11, 2023 to Dec 11, 2023)"
The Immigrant Memoir,AMR CW SOC ,Program in American Studies ,2:15pm-3:30pm,"Axinn Center 104 (AXN 104)
		",Rachael Joo ,,AMST0380A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
Theory and Method in American Studies (Junior Year),,Program in American Studies ,2:15pm-3:30pm,"Munroe Hall 208 (MNR 208)
		",Holly Allen ,"
A reading of influential secondary texts that have defined the field of American Studies during the past fifty years.  Particular attention will be paid to the methodologies adopted by American Studies scholars, and the relevance these approaches have for the writing of senior essays and theses. (Open to junior American studies majors only.) 3 hrs. lect./disc. ",AMST0400A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
Diversity and Human Nature: Introduction to Cultural Anthropology,CMP SOC ,Anthropology ,9:45am-10:35am,"Axinn Center 229 (AXN 229)
		",Ellen Oxfeld ,"
This course introduces students to the varieties of human experience in social life and to the differing approaches and levels of analysis used by anthropologists to explain it. Topics include: culture and race, rituals and symbolism, kinship and gender roles, social evolution, political economy, and sociolinguistics. Ethnographic examples are drawn chiefly from non-Western societies, from simple bands to great agrarian states. The ultimate aim is to enable students to think critically about the bases of their own culture and about practices and beliefs previously unanalyzed and unexamined. (formerly SOAN 0103) 2 hrs. lect./1 hr. disc. ",ANTH0103A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
Introduction to Archaeology,CMP HIS SOC ,Anthropology ,8:40am-9:30am,"Axinn Center 103 (AXN 103)
		",James Fitzsimmons ,"
Archaeology is the scientific analysis and interpretation of cultural remains. Archaeologists examine artifacts, architecture, and even human remains in order to answer questions about the growth and development of societies worldwide.  In addressing these issues we not only illuminate the past but also explore patterns relevant to contemporary social concerns.  From the tropical lowlands of Central America to the deserts of ancient Egypt, this course provides an introduction to world prehistory.  We proceed from humanity's earliest beginnings to the development of complex societies worldwide and use case examples to explore the major topics, methods, and theories of contemporary archaeology. (formerly SOAN 0107) 2 hrs. lect./1 hr. lab. ",ANTH0107A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
"Africa and Anthropology: Power, Continuity, and Change",HIS SAF SOC ,Anthropology ,11:15am-12:05pm,"Munroe Hall 311 (MNR 311)
		",Michael Sheridan ,"
Sub-Saharan Africa has long represented primitive mysteries for Europeans and North Americans, as a ‘Dark Continent’ full of exotic people and animals. Even now, many Americans learn little about Africa and Africans except for ‘thin’ media reports of political, economic, and ecological upheaval or persistent poverty, disease, and despair. This course provides a ‘thick’ description and analysis of contemporary African conditions using ethnographies and films. We will not be exploring ‘traditional African cultures’ outside of their historical contexts or generalizing about ‘what African culture really is.’ Rather, our focus will be on understanding social continuity and change alongside cultural diversity and commonality. Topics will include colonialism, critical kinship studies, African feminism, environmental management, witchcraft and religion. Throughout the course African ideas of power – what it is, who has it, and why –unify these diverse topics as social relations. (formerly SOAN 0232) 3 hrs. lect. ",ANTH0232A-F23,"Monday, Wednesday, Friday (Sep 11, 2023 to Dec 11, 2023)"
"The Causes, Dynamics, and Consequences of International Migration",AMR CMP NOR SOC ,Anthropology ,8:15am-9:30am,"Ross Commons Dining 011 (RCD 011)
		",Trinh Tran ,"
Whether they are asylum seekers, undocumented or legal migrants, large-scale movements of people across international borders raises important questions about human rights, nationality, and place. This global flow also presents unique challenges to both newcomers and residents of the receiving society as both sides contend with issues of loyalty, belonging, and identity. In this course we will examine these important issues using the United States as the primary (though not exclusive) context. Drawing upon historical and contemporary material, we will also discuss the social, cultural, political, and economic consequences of global migration.(formerly SOAN 0274) 3 hrs. lect./disc. ",ANTH0274A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
Medical Anthropology: Approaches to Affliction and Healing,CMP SOC ,Anthropology ,9:45am-11:00am,"Axinn Center 109 (AXN 109)
		",Kristin Bright ,"
In this course, an introduction to medical anthropology, we will explore cultural and political-economic perspectives on health, illness, and disease. Topics covered include: (1) biocultural approaches to understanding health; (2) medical systems, including biomedicine and others; (3) the effects of poverty and inequality on health outcomes; and (4) the social construction of health and illness. Students will apply these concepts in understanding an aspect of health, illness, or healing in their own research project with an ethnographic component. An introductory course in anthropology or familiarity with medical or public health issues is recommended. (formerly SOAN 0387) 3 hrs. lect./disc. ",ANTH0287A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
The Research Process: Ethnography and Qualitative Methods,CW SOC ,Anthropology ,12:45pm-2:00pm,"Munroe Hall 311 (MNR 311)
		",Kristin Bright ,"
The aim of this course is to prepare the student to conduct research, to analyze and present research in a scholarly manner, and to evaluate critically the research of others. Practice and evaluation of such basic techniques as observation, participant-observation, structured and open-ended interviews, and use of documents. Introduction to various methodological and theoretical frameworks. Thesis or essay prospectus is the final product of this course. Strongly recommended for juniors. One-hour research lab required. (SOAN 0103 or ANTH 0103 or SOAN 0105 or SOCI 0105) (formerly SOAN 0302) 3 hrs. lect./disc./1 hr. research lab ",ANTH0302A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
Race and Ethnicity Across Cultures,CMP SOC ,Anthropology ,2:15pm-3:30pm,"Munroe Hall 217 (MNR 217)
		",Ellen Oxfeld ," 
Ethnicity and race are social phenomena that influence group relations, as well as personal identity, in many areas of the world. But what is ""ethnicity"" and what is ""race""? In this course we will explore the varied approaches that have been utilized to understand race and ethnicity across diverse cultural settings. No single explanation of  race and ethnicity is all encompassing, and so we will explore a number of different approaches.  Among the issues we will examine are: alternative explanations of ethnic and racial identity formation; the causes and consequences of ethnic violence and competition; the connections among ethnicity, gender, and class; and the processes through which distinctions between self and other are created. (formerly SOAN 0355) 3 hrs. lect./disc ",ANTH0355A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
International and Cross Cultural Education,CMP SOC ,Anthropology ,1:30pm-4:15pm,"Ross Commons Dining 011 (RCD 011)
		",Trinh Tran ,"
Who gets to own knowledge?  Who can acquire it?  How do we construct advantage and disadvantage?  Comparative and international education examines the intersection of culture and education and the ways they are inextricably related through history, politics, and literature. In this course we will explore major concepts, trends, and methodologies across disciplines, focusing on the effects of globalization, the maintenance and dissolution of borders, the commodification of knowledge, the social creation of meaning, and the consequences of those constructions. We will examine global educational traditions and realities on the ground in case studies of Western and developing nations. ",ANTH0375A-F23,"Monday (Sep 11, 2023 to Dec 11, 2023)"
Anthropology of Religions,,Anthropology ,7:00pm-10:00pm,Main Campus: OFFM  (Off Campus),Laurie Patton ,"
How do you study religions when they are not in a document or a creed but lived by people you know?  Anthropologists over the course of the last century have had a wide range of responses and approaches to that question, including how to define the term “religion” itself.   The class will provide a history of approaches to anthropology and religions, including their origins in colonial legacies and world views.  We will then turn to recent writings in the field, particularly as thinkers began to re-evaluate their own premises and methods: what is the relationship between self and other in ethnographic field work in religious communities? How do we think ethically about field work and the representation of religious cultures and individuals? How do we approach religions as ontologies, or lived experiences, rather than a set of rules and regulations that cultures create?  How do we think about new scientific claims about the evolution of religions by cognitive anthropologists? How do we assess communities’ perspectives on interactions with deities and spirits within postcolonial cultures which are negotiating competing world views?  (At least two courses in ANTH or RELI, one of which must be at the 200 or 300 level.) This course may not substitute for the “Method and Theory” requirement in the Religion Major. ",ANTH0430A-F23,"Monday (Sep 11, 2023 to Dec 11, 2023)"
Beginning Arabic I,LNG ,Arabic ,9:45am-11:00am,"Atwater Dining 102 (ATD 102)
		",Maryait Khader ,"
The goal of this course is to begin developing reading, speaking, listening, writing, and cultural skills in Arabic. This course stresses written and oral communication, using both formal Arabic and some Egyptian dialect. Emphasis is also placed on reading authentic texts from Arabic media sources, listening to and watching audio and video materials, and developing students' understanding of Arab culture. 6 hrs lect/disc. ",ARBC0101A-F23,"Tuesday, Thursday at ATD 102 (Sep 11, 2023 to Dec 11, 2023)
9:45am-11:00am on Monday, Wednesday at ATD 102 (Sep 11, 2023 to Dec 11, 2023)"
Beginning Arabic I,LNG ,Arabic ,2:15pm-3:30pm,"Atwater Hall A A100 (ATA A100)
		",Dima Ayoub ,"
The goal of this course is to begin developing reading, speaking, listening, writing, and cultural skills in Arabic. This course stresses written and oral communication, using both formal Arabic and some Egyptian dialect. Emphasis is also placed on reading authentic texts from Arabic media sources, listening to and watching audio and video materials, and developing students' understanding of Arab culture. 6 hrs lect/disc. ",ARBC0101B-F23,"Tuesday, Thursday at ATA A100 (Sep 11, 2023 to Dec 11, 2023)
2:15pm-3:30pm on Monday, Wednesday at ATA A100 (Sep 11, 2023 to Dec 11, 2023)"
Intermediate Arabic I,LNG ,Arabic ,8:15am-9:30am,"Freeman HAM (FIC HAM)
		",Samuel Liebhaber ,"
This course is a continuation of ARBC 0103. Emphasis is placed on reading authentic materials from Arabic media, expanding students' vocabulary, listening to and watching audio and video materials, and developing students' understanding of Arab culture and communicative competence. (ARBC 0103 or equivalent) 6 hrs. lect/disc ",ARBC0201A-F23,"Tuesday, Thursday at FIC HAM (Sep 11, 2023 to Dec 11, 2023)
8:40am-9:30am on Monday, Wednesday at FIC HAM (Sep 11, 2023 to Dec 11, 2023)"
Intermediate Arabic I,LNG ,Arabic ,9:45am-11:00am,"McCardell Bicentennial Hall 331 (MBH 331)
		",Robert Greeley ,"
This course is a continuation of ARBC 0103. Emphasis is placed on reading authentic materials from Arabic media, expanding students' vocabulary, listening to and watching audio and video materials, and developing students' understanding of Arab culture and communicative competence. (ARBC 0103 or equivalent) 6 hrs. lect/disc ",ARBC0201B-F23,"Tuesday, Thursday at MBH 331 (Sep 11, 2023 to Dec 11, 2023)
9:45am-10:35am on Monday, Wednesday at MBH 331 (Sep 11, 2023 to Dec 11, 2023)"
Food Security in Lebanon,AAL MDE SOC ,Arabic ,8:15am-9:30am,"McCardell Bicentennial Hall 331 (MBH 331)
		",Robert Greeley ,"
In this course we will begin with a short history of Lebanon’s agrarian to urban transition to look at its contemporary food system, asking such questions as: Who profits from the food system? How viable is agriculture in Lebanon? Does this system provide food security? This course will provide students with an understanding of how global and local political/financial systems have extracted wealth from farmers, and have left the Lebanese in a state of fluctuating food insecurity. We will look at commodity chains, crop selection, markets, farmer to farmer relations, and the role of Syrian crops entering the country. We will draw on the work of NGOs, UNEP reports, media, policy papers, and the academic literature. (ENVS 0112 or GEOG 0100 or IGST 0101 or  ANTH 0103; Or by instructor approval) 3 hrs. lect. ",ARBC0230A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
Advanced Arabic 1,LNG ,Arabic ,11:15am-12:30pm,"Atwater Dining 102 (ATD 102)
		",Maryait Khader ,"
A continuation of Arabic 0202. This course aims to help students reach an intermediate-high level of proficiency in reading, speaking, writing, listening, and culture. Readings include articles on cultural, social, historical, political and literary topics.  (ARBC 0202 or equivalent) 3 hrs. lect/disc. on T/R., plus a 50-minute lect time on Mondays TBD by enrolled students.) ",ARBC0301A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
Contemporary Arab Cinema,AAL ART LNG MDE ,Arabic ,7:30pm-10:25pm,"Atwater Hall A A100 (ATA A100)
		",Dima Ayoub ,"
This course will present an overview of contemporary Arab cinema, exploring the way in which this cinema reflects the dynamics of political, economic, and social change in modern Arab societies. The course will be conducted exclusively in Arabic and will involve reading texts that present an overview of contemporary Arab cinema as well as texts analyzing notable and award-winning Arabic films. (ARBC 0302 or equivalent) 3 hrs. sem. ",ARBC0412A-F23,"Wednesday (Sep 11, 2023 to Dec 11, 2023)"
The Creative Process,ART ,Arts Division ,12:45pm-2:00pm,"Mahaney Center for the Arts 232 (MAC 232)
		",Olga Sanchez Saltveit ,"
In this course, students will have the opportunity to dig deeply into their own creativity and explore the processes by which ideas emerge and are given shape in the arts. The experiential nature of this course integrates cognition and action, mind and body.  Students will engage a range of modes of discovering, knowing, and communicating, which are designed to push them beyond their present state of awareness and level of confidence in their creative power.  Practical work will be closely accompanied by readings and journaling, culminating with the creation and performance of a short project. (First- and second-year students only; Not open to students who have taken FYSE 1364) 3 hrs. lect. ",ARDV0116A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
Drawing: Unlearning What You See,ART ,Program in Studio Art ,1:30pm-4:15pm,"Johnson Memorial Building 303 (JHN 303)
		",Estefania Puerta Grisales ,"
Drawing is an intuitive act of expression. It serves many purposes: observation, emotional reflection, and creating altered realities beyond the written word. In this course we will learn foundational drawing techniques utilizing different approaches and materials including dry and wet media and basic sculptural principles to understand volume depicting space and figures. We address composition, scale, contour delineation, and tonal values. Developing a personal style will be paramount. Topics relating to drawing in the context of history and issues around who gets represented and how will be discussed. Readings and short lectures will inform these discussions.  No prior drawing experience is expected. (Not open to students who have taken ART 0157 or ART 0159) 6 hrs lct. ",ART0156A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
Studio Art I: Drawing,ART ,Program in Studio Art ,1:30pm-4:15pm,"Johnson Memorial Building 303 (JHN 303)
		",Hedya Klein ,"
We will cover various approaches and experimentation with mark making and materials. Dry and wet media will be used as well as basic sculptural techniques to get a better understanding of the volumetric qualities of depicting space and figures. Students will learn how to render composition, scale, negative/positive space, contour lines, tonal values, line quality, and personal style. Class includes individual and group critiques, and when possible, field trips. Topics relating to representation such as who gets represented and how, will be discussed. Readings and short lectures will inform these discussions and there will be short writing assignments that will allow further exploration. No prior drawing experience is expected.  6 hrs. lect./lab ",ART0159A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
Spacing,AMR ART SOC ,Program in Studio Art ,1:30pm-4:15pm,"Johnson Memorial Building 105 (JHN 105)
		",Matthew Schrader ,"
In this course we will investigate physical structures encountered daily. Buildings, parks, and infrastructure constitute this built environment, reflecting their societies. But what could abolitionist architecture look like, or how might public space in the U.S. create new social relations? Through lenses of race, class, and gender we will build critical vocabularies around the practice of making space. We will focus on the historical and contemporary embodiment of power, race, and culture of the U.S. through the built environment. This studio class will then present a series of projects addressing basic three-dimensional construction and model making techniques. We will engage historical and contemporary artworks, urban planning, architecture, and poetry from perspectives of resistance to dominant modes of constructing space. ",ART0174A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
CMD+Z: Infinite Possibilities of The Digital Studio,NA,ART CMP ,1:30pm-4:15pm,"Johnson Memorial Building 307 (JHN 307)
		",Michelle Leftheris ,"
In this foundation design course we will explore various aspects of design including 2D composition, color theory, image editing, and typography while developing literacy in graphics software using the Adobe Creative Suite. Focusing on the comparison of visual communication across global cultures, lectures and assignments will be centered around the ways design intersects with art and socio-political issues.  Students will develop creative visual problem-solving and image-making skills that they can apply across many disciplines, learning to communicate and present their ideas effectively. Students will produce two substantial screen-based and print projects over the course of the semester. It is a 100 level beginning level class open to and designed for students with no visual artmaking experience. This course will count as a prerequisite towards 300-level courses in The Program In Studio Art. 6 hrs. lect./lab ",ART0195A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
Figure Drawing I: The Human Body as Expression,,Program in Studio Art ,1:30pm-4:15pm,"Johnson Memorial Building 305 (JHN 305)
		",James Butler ,"
Depictions of the human are the longest historical record of our species. In this course we will learn to draw the human body as a key to unlocking that history and your imagination, to create new cultural stories. We will apply foundational knowledge obtained via deep analysis of skeletal/muscular anatomy to axioms of drawing including spatial reasoning using principles of geometry to depict the nude human form from life. You will learn to pictorialize figures meeting your creative intentions using inks, graphite, charcoal, and acrylics. Weekly lectures will survey figurative representation throughout the history of global art. Labs include application of linear perspective, movement, clothing, and implications of adornment. All levels; no pre-req; Content is connective to programs including Dance, Theater, History, and Philosophy. Lecture/Lab ",ART0201A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
Scratching the Surface,ART ,Program in Studio Art ,9:45am-12:30pm,"Johnson Memorial Building 301 (JHN 301)
		",Hedya Klein ,"
In this course we will explore studio instruction in traditional and contemporary methods of intaglio printmaking with a critical emphasis on different methods of working directly on the plate. The general term intaglio (from the Italian intagliare, which means to engrave, carve, or cut) covers a multitude of processes. The incised line in the plate holds the ink while the surface is wiped clean. Only the line prints when paper is placed on the plate and both are run through the etching press. The course is augmented by slide lectures to provide the students with a thorough background in the intaglio medium as well as other drawing based mediums.  Depending on resources, students may have the opportunity to be a part of an intensive, collaborative print project to produce an edition of prints with a professional artist.  (ART 0157, ART 0158, ART 0159 or by approval) 6 hrs. lect./lab ",ART0315A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
Oil Painting Outdoors - Visually Interpreting The Landscape Around Us,ART ,Program in Studio Art ,9:45am-12:30pm,"Johnson Memorial Building 103 (JHN 103)
		",James Butler ,"
In this outdoor lab we will create paintings directly from the fall landscape of Middlebury. Using oil paint we will learn how to set up a palette, deploy color theory in picture-making, and apply spatial principles in composing our paintings. Oil on canvas will be our gateway to understanding the natural world, our built environment, and transitory phenomena of weather and light. A portion of the class will address how to incorporate humans and animals into our  images. Lecture and readings will address historical and philosophical ideas of landscape in culture. (one intro drawing course). 6 hrs. lect. ",ART0348A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
Sculpture I,ART ,Program in Studio Art ,9:45am-12:30pm,"Johnson Memorial Building 107 (JHN 107)
		",Matthew Schrader ,"
In this sculpture class we will foreground “process” in the creation of form. We will address a variety of traditional tool and material relationships as well as inventing new and unusual processes with unconventional materials and tools. Parallel to studio-based experimentation we will engage in a weekly practice of critique learning how to process the visual with language. The class will be organized around a series of existing artworks, texts and films that will serve as models to help guide our collective inquiry. (At least one 100 level drawing or digital studio course)  6 hrs. lect/lab ",ART0371A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
